edad,empleo,estado,educacion,impago,hipoteca,prestamo,tipo_contacto,mes,dia_semana,contactos_actual,contactos_anterior,resultado_anterior,tasa_var_empleo_3m,euribor_3m,ipc_1m,target
38,technician,single,university.degree,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
28,services,married,high.school,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,yes
40,admin.,married,university.degree,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
34,services,single,professional.course,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
40,admin.,married,university.degree,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
35,services,single,basic.4y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
43,retired,married,basic.4y,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
51,management,married,university.degree,no,yes,yes,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
33,blue-collar,married,high.school,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
35,admin.,divorced,university.degree,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
25,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
50,services,divorced,basic.4y,unknown,yes,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
34,blue-collar,single,basic.4y,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
47,technician,single,university.degree,no,no,yes,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
35,blue-collar,married,basic.6y,no,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
35,admin.,single,basic.4y,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
39,entrepreneur,married,basic.9y,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
42,blue-collar,married,basic.6y,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,yes
42,blue-collar,married,basic.6y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
43,blue-collar,divorced,unknown,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
48,technician,married,professional.course,unknown,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
25,blue-collar,married,basic.9y,no,yes,yes,telephone,jun,mon,5,0,nonexistent,1.4,4.865,94.465,no
32,blue-collar,married,professional.course,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
47,self-employed,divorced,professional.course,unknown,yes,no,telephone,jun,mon,13,0,nonexistent,1.4,4.865,94.465,no
47,technician,single,professional.course,unknown,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
30,services,married,high.school,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
31,self-employed,married,university.degree,no,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
35,management,single,university.degree,no,yes,no,telephone,jun,mon,21,0,nonexistent,1.4,4.865,94.465,no
38,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
45,blue-collar,single,basic.9y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
40,blue-collar,single,basic.9y,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
30,services,married,high.school,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
48,blue-collar,married,unknown,unknown,no,no,telephone,jun,mon,7,0,nonexistent,1.4,4.865,94.465,no
38,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
58,unemployed,married,basic.9y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
39,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
58,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
39,admin.,married,university.degree,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
35,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
40,management,married,university.degree,no,unknown,unknown,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
49,admin.,divorced,high.school,no,yes,no,telephone,jun,mon,5,0,nonexistent,1.4,4.865,94.465,no
34,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
49,unemployed,divorced,professional.course,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
32,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
44,admin.,single,high.school,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
35,blue-collar,married,high.school,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
38,technician,single,professional.course,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
35,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
33,technician,single,university.degree,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
30,services,single,high.school,no,no,no,telephone,jun,mon,6,0,nonexistent,1.4,4.865,94.465,no
55,entrepreneur,divorced,university.degree,no,yes,yes,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
47,entrepreneur,married,university.degree,no,no,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
51,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
40,entrepreneur,married,professional.course,unknown,no,no,telephone,jun,mon,6,0,nonexistent,1.4,4.865,94.465,no
44,blue-collar,married,professional.course,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
41,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
32,blue-collar,single,basic.4y,no,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
40,services,single,high.school,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
41,self-employed,married,basic.4y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
38,technician,married,basic.9y,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
29,technician,single,unknown,no,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
32,admin.,single,university.degree,no,unknown,unknown,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
39,services,single,high.school,unknown,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,yes
41,services,divorced,high.school,no,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
39,self-employed,married,basic.4y,unknown,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
25,admin.,single,high.school,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
33,technician,married,basic.9y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
24,services,single,high.school,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
36,housemaid,married,basic.4y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
35,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
40,blue-collar,married,basic.6y,unknown,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
26,admin.,married,high.school,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
40,technician,divorced,university.degree,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
45,management,married,university.degree,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
39,entrepreneur,married,high.school,no,unknown,unknown,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
26,admin.,single,high.school,no,no,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
41,technician,single,university.degree,unknown,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
48,housemaid,married,basic.6y,unknown,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
32,admin.,married,high.school,no,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
47,admin.,married,professional.course,no,no,no,telephone,jun,mon,6,0,nonexistent,1.4,4.865,94.465,no
51,blue-collar,married,basic.4y,no,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
55,blue-collar,married,professional.course,unknown,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
37,admin.,divorced,university.degree,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
52,services,married,high.school,unknown,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
47,management,divorced,university.degree,no,yes,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
33,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
53,admin.,divorced,university.degree,unknown,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
57,housemaid,married,basic.4y,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
53,services,married,high.school,unknown,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
25,admin.,married,unknown,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
26,admin.,single,high.school,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
46,management,married,university.degree,unknown,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
58,retired,married,high.school,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
56,technician,married,university.degree,no,no,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
52,technician,married,high.school,no,unknown,unknown,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
43,technician,married,professional.course,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
36,technician,married,professional.course,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
45,blue-collar,single,high.school,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
36,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,mon,5,0,nonexistent,1.4,4.865,94.465,no
55,admin.,divorced,unknown,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
29,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
48,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
42,services,divorced,high.school,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
47,admin.,married,university.degree,no,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
45,technician,single,professional.course,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
25,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,5,0,nonexistent,1.4,4.865,94.465,no
41,services,divorced,basic.9y,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
51,technician,married,professional.course,no,no,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
41,technician,single,university.degree,unknown,yes,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
40,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
33,services,single,high.school,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
28,admin.,single,university.degree,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
27,admin.,married,basic.9y,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
25,admin.,married,university.degree,no,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
45,admin.,married,unknown,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,yes
55,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
49,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
39,admin.,single,unknown,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
53,management,divorced,university.degree,no,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
53,unknown,married,high.school,unknown,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
31,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
39,admin.,single,university.degree,unknown,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
55,admin.,married,high.school,no,no,yes,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
38,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
32,blue-collar,divorced,basic.4y,unknown,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
34,blue-collar,married,high.school,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
54,admin.,married,high.school,unknown,yes,no,telephone,jun,mon,12,0,nonexistent,1.4,4.865,94.465,no
54,management,married,university.degree,unknown,no,yes,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
47,management,divorced,university.degree,no,no,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
29,services,single,high.school,no,yes,yes,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
36,admin.,married,university.degree,no,yes,no,telephone,jun,mon,8,0,nonexistent,1.4,4.865,94.465,no
37,services,married,high.school,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
41,admin.,married,high.school,unknown,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
26,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,yes
25,self-employed,single,university.degree,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
60,management,married,university.degree,unknown,no,no,telephone,jun,mon,6,0,nonexistent,1.4,4.865,94.465,no
40,entrepreneur,married,university.degree,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
40,technician,single,professional.course,no,yes,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
36,management,married,university.degree,no,no,no,telephone,jun,mon,7,0,nonexistent,1.4,4.865,94.465,no
38,admin.,married,high.school,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
28,blue-collar,single,high.school,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
25,technician,divorced,university.degree,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
45,management,divorced,university.degree,no,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
44,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
51,management,married,unknown,unknown,yes,yes,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
39,admin.,married,university.degree,no,no,no,telephone,jun,mon,11,0,nonexistent,1.4,4.865,94.465,no
33,self-employed,single,university.degree,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
49,unknown,married,unknown,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
36,blue-collar,single,basic.4y,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
39,self-employed,married,university.degree,no,yes,yes,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
55,blue-collar,married,basic.4y,unknown,yes,yes,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
33,admin.,single,university.degree,no,yes,yes,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
58,blue-collar,married,basic.4y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
36,housemaid,married,basic.6y,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
28,admin.,married,university.degree,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
37,admin.,married,university.degree,no,no,no,telephone,jun,mon,8,0,nonexistent,1.4,4.865,94.465,no
45,technician,married,university.degree,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
43,technician,single,professional.course,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
30,blue-collar,married,professional.course,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
34,services,divorced,professional.course,unknown,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
39,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
35,admin.,single,university.degree,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
33,admin.,married,high.school,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
33,services,single,university.degree,unknown,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,yes
37,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
39,services,divorced,high.school,unknown,yes,no,telephone,jun,mon,5,0,nonexistent,1.4,4.865,94.465,no
49,technician,married,professional.course,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
39,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
37,entrepreneur,married,basic.9y,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
45,admin.,married,university.degree,no,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
40,services,divorced,high.school,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
52,admin.,divorced,university.degree,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
41,admin.,married,high.school,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
43,admin.,married,high.school,unknown,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
30,blue-collar,single,basic.4y,no,no,no,telephone,jun,mon,9,0,nonexistent,1.4,4.865,94.465,no
34,unemployed,single,university.degree,no,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
41,services,married,basic.9y,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
45,admin.,married,high.school,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
36,services,single,basic.6y,unknown,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
33,blue-collar,single,basic.9y,unknown,yes,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
55,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
42,retired,married,basic.9y,unknown,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
42,services,married,high.school,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
44,blue-collar,married,basic.6y,unknown,yes,no,telephone,jun,mon,5,0,nonexistent,1.4,4.865,94.465,no
36,services,married,high.school,unknown,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
41,blue-collar,married,unknown,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
35,unknown,married,basic.9y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
58,admin.,divorced,university.degree,no,yes,no,telephone,jun,mon,7,0,nonexistent,1.4,4.865,94.465,no
58,retired,married,basic.9y,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
52,entrepreneur,married,university.degree,unknown,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
32,admin.,married,university.degree,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
33,technician,married,high.school,no,no,yes,telephone,jun,mon,9,0,nonexistent,1.4,4.865,94.465,no
56,management,divorced,university.degree,no,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
37,admin.,married,university.degree,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
